,e68,dx,dy,r,m1,m2
82,-0.3330113,1.3125424,0.5904517,1.4392362,0.34955072,0.1433743
83,-0.023441825,1.0121021,-0.18316561,1.0285429,0.34955072,2.450741
84,-0.00188783,0.31082916,-0.44183838,0.5402184,4.3770914,0.34955072
85,0.20164919,0.015147448,0.5554544,0.55566084,4.3770914,0.8905651
86,-0.41799736,1.6233716,0.14861333,1.63016,4.3770914,0.1433743
87,-0.17353523,1.3229313,-0.625004,1.4631394,4.3770914,2.450741
88,0.0108253,0.29568172,-0.99729276,1.0402021,0.8905651,0.34955072
89,-0.20737612,-0.015147448,-0.5554544,0.55566084,0.8905651,4.3770914
90,-0.3277697,1.6082242,-0.40684104,1.6588866,0.8905651,0.1433743
91,-0.12066262,1.3077838,-1.1804583,1.7617549,0.8905651,2.450741
92,0.34007406,-1.3125424,-0.5904517,1.4392362,0.1433743,0.34955072
93,0.42857888,-1.6233716,-0.14861333,1.63016,0.1433743,4.3770914
94,0.33414668,-1.6082242,0.40684104,1.6588866,0.1433743,0.8905651
95,-0.101094946,-0.3004403,-0.7736173,0.8299085,0.1433743,2.450741
96,0.023413032,-1.0121021,0.18316561,1.0285429,2.450741,0.34955072
97,0.17797068,-1.3229313,0.625004,1.4631394,2.450741,4.3770914
98,0.13099223,-1.3077838,1.1804583,1.7617549,2.450741,0.8905651
99,0.102998614,0.3004403,0.7736173,0.8299085,2.450741,0.1433743
100,-0.37636337,-0.6834355,2.404208,2.49946,2.8423243,0.45012483
101,-0.21610884,-0.50660217,1.7779722,1.8487377,2.8423243,0.4604732
102,-0.9959908,0.61528116,2.6783304,2.7480948,2.8423243,2.4460523
103,-1.0308114,0.3394385,3.0159416,3.034983,2.8423243,5.7326517
104,0.40654066,0.6834355,-2.404208,2.49946,0.45012483,2.8423243
105,-0.09239212,0.17683335,-0.6262357,0.6507236,0.45012483,0.4604732
106,-0.2363054,1.2987167,0.27412248,1.3273312,0.45012483,2.4460523
107,-0.151744,1.022874,0.6117337,1.1918428,0.45012483,5.7326517
108,0.22559701,0.50660217,-1.7779722,1.8487377,0.4604732,2.8423243
109,0.08744328,-0.17683335,0.6262357,0.6507236,0.4604732,0.45012483
110,-0.34048134,1.1218834,0.9003582,1.4384948,0.4604732,2.4460523
111,-0.36506358,0.84604067,1.2379694,1.4994509,0.4604732,5.7326517
112,1.0267613,-0.61528116,-2.6783304,2.7480948,2.4460523,2.8423243
113,0.23727784,-1.2987167,-0.27412248,1.3273312,2.4460523,0.45012483
114,0.34539902,-1.1218834,-0.9003582,1.4384948,2.4460523,0.4604732
115,-0.02161285,-0.27584267,0.3376112,0.43597075,2.4460523,5.7326517
116,0.98810834,-0.3394385,-3.0159416,3.034983,5.7326517,2.8423243
117,0.15340395,-1.022874,-0.6117337,1.1918428,5.7326517,0.45012483
118,0.35057446,-0.84604067,-1.2379694,1.4994509,5.7326517,0.4604732
119,0.029795758,0.27584267,-0.3376112,0.43597075,5.7326517,2.4460523
120,0.37805068,-0.62989473,-1.4255843,1.5585436,2.6446233,1.5454042
121,0.23817931,-0.049102664,-1.4969873,1.4977925,2.6446233,0.35976517
122,-0.17664033,-0.70444643,-0.25518078,0.749241,2.6446233,1.6425202
123,0.33525,-1.4034097,-0.38413733,1.4550327,2.6446233,0.56675494
124,-0.37281188,0.62989473,1.4255843,1.5585436,1.5454042,2.6446233
