,e89,dx,dy,r,m1,m2
82,0.05952084,1.3125424,0.5904517,1.4392362,0.34955072,0.1433743
83,0.026059661,1.0121021,-0.18316561,1.0285429,0.34955072,2.450741
84,-0.3218971,0.31082916,-0.44183838,0.5402184,4.3770914,0.34955072
85,0.25317225,0.015147448,0.5554544,0.55566084,4.3770914,0.8905651
86,0.21233922,1.6233716,0.14861333,1.63016,4.3770914,0.1433743
87,0.29035613,1.3229313,-0.625004,1.4631394,4.3770914,2.450741
88,0.041813903,0.29568172,-0.99729276,1.0402021,0.8905651,0.34955072
89,-0.2867137,-0.015147448,-0.5554544,0.55566084,0.8905651,4.3770914
90,0.4017136,1.6082242,-0.40684104,1.6588866,0.8905651,0.1433743
91,0.6065866,1.3077838,-1.1804583,1.7617549,0.8905651,2.450741
92,-0.05184105,-1.3125424,-0.5904517,1.4392362,0.1433743,0.34955072
93,-0.2347898,-1.6233716,-0.14861333,1.63016,0.1433743,4.3770914
94,-0.3905753,-1.6082242,0.40684104,1.6588866,0.1433743,0.8905651
95,-0.07398489,-0.3004403,-0.7736173,0.8299085,0.1433743,2.450741
96,-0.015640408,-1.0121021,0.18316561,1.0285429,2.450741,0.34955072
97,-0.31888312,-1.3229313,0.625004,1.4631394,2.450741,4.3770914
98,-0.59101444,-1.3077838,1.1804583,1.7617549,2.450741,0.8905651
99,0.07500246,0.3004403,0.7736173,0.8299085,2.450741,0.1433743
100,-1.1284422,-0.6834355,2.404208,2.49946,2.8423243,0.45012483
101,-0.64304817,-0.50660217,1.7779722,1.8487377,2.8423243,0.4604732
102,-0.95453423,0.61528116,2.6783304,2.7480948,2.8423243,2.4460523
103,-1.2307904,0.3394385,3.0159416,3.034983,2.8423243,5.7326517
104,1.1711184,0.6834355,-2.404208,2.49946,0.45012483,2.8423243
105,-0.2598298,0.17683335,-0.6262357,0.6507236,0.45012483,0.4604732
106,0.100097984,1.2987167,0.27412248,1.3273312,0.45012483,2.4460523
107,0.015065001,1.022874,0.6117337,1.1918428,0.45012483,5.7326517
108,0.6680792,0.50660217,-1.7779722,1.8487377,0.4604732,2.8423243
109,0.26763558,-0.17683335,0.6262357,0.6507236,0.4604732,0.45012483
110,-0.027642742,1.1218834,0.9003582,1.4384948,0.4604732,2.4460523
111,-0.15369338,0.84604067,1.2379694,1.4994509,0.4604732,5.7326517
112,0.9753255,-0.61528116,-2.6783304,2.7480948,2.4460523,2.8423243
113,-0.09047555,-1.2987167,-0.27412248,1.3273312,2.4460523,0.45012483
114,0.039558083,-1.1218834,-0.9003582,1.4384948,2.4460523,0.4604732
115,0.44801867,-0.27584267,0.3376112,0.43597075,2.4460523,5.7326517
116,1.019553,-0.3394385,-3.0159416,3.034983,5.7326517,2.8423243
117,-0.0021545177,-1.022874,-0.6117337,1.1918428,5.7326517,0.45012483
118,0.1337596,-0.84604067,-1.2379694,1.4994509,5.7326517,0.4604732
119,-0.36669815,0.27584267,-0.3376112,0.43597075,5.7326517,2.4460523
120,0.25610608,-0.62989473,-1.4255843,1.5585436,2.6446233,1.5454042
121,0.3354201,-0.049102664,-1.4969873,1.4977925,2.6446233,0.35976517
122,0.050005455,-0.70444643,-0.25518078,0.749241,2.6446233,1.6425202
123,-0.10583374,-1.4034097,-0.38413733,1.4550327,2.6446233,0.56675494
124,-0.24361606,0.62989473,1.4255843,1.5585436,1.5454042,2.6446233
125,-0.19931048,0.58079207,-0.07140291,0.5851648,1.5454042,0.35976517
126,-0.12088682,-0.07455167,1.1704036,1.1727755,1.5454042,1.6425202
127,-0.2429286,-0.77351505,1.041447,1.2972808,1.5454042,0.56675494
128,-0.33634436,0.049102664,1.4969873,1.4977925,0.35976517,2.6446233
129,0.21422723,-0.58079207,0.07140291,0.5851648,0.35976517,1.5454042
130,-0.32942206,-0.6553438,1.2418065,1.4041221,0.35976517,1.6425202
131,-0.5829735,-1.3543072,1.11285,1.7528784,0.35976517,0.56675494
132,-0.03835179,0.70444643,0.25518078,0.749241,1.6425202,2.6446233
133,0.1286446,0.07455167,-1.1704036,1.1727755,1.6425202,1.5454042
134,0.3390922,0.6553438,-1.2418065,1.4041221,1.6425202,0.35976517
135,0.08676964,-0.6989634,-0.12895656,0.7107599,1.6425202,0.56675494
136,0.11586499,1.4034097,0.38413733,1.4550327,0.56675494,2.6446233
137,0.25202024,0.77351505,-1.041447,1.2972808,0.56675494,1.5454042
138,0.59389913,1.3543072,-1.11285,1.7528784,0.56675494,0.35976517
139,-0.078920335,0.6989634,0.12895656,0.7107599,0.56675494,1.6425202
140,-0.008772022,-0.9881735,-0.36864042,1.0546955,2.664156,0.7641744
141,0.08020603,-0.8147955,-0.02341795,0.81513196,2.664156,0.58858967
142,-0.26032647,-1.0884953,0.8004017,1.3510977,2.664156,0.96150064
143,-1.3181291,-2.2713969,1.6058278,2.7817128,2.664156,14.05433
144,0.016227137,0.9881735,0.36864042,1.0546955,0.7641744,2.664156
145,0.25146765,0.17337799,0.34522247,0.38631397,0.7641744,0.58858967
146,-0.12538895,-0.10032177,1.1690421,1.1733388,0.7641744,0.96150064
147,-1.0978503,-1.2832234,1.9744682,2.3548222,0.7641744,14.05433
148,-0.0706322,0.8147955,0.02341795,0.81513196,0.58858967,2.664156
149,-0.24388474,-0.17337799,-0.34522247,0.38631397,0.58858967,0.7641744
150,0.1016096,-0.27369976,0.82381964,0.8680958,0.58858967,0.96150064
151,-0.9489521,-1.4566014,1.6292458,2.1854358,0.58858967,14.05433
152,0.277551,1.0884953,-0.8004017,1.3510977,0.96150064,2.664156
153,0.13064554,0.10032177,-1.1690421,1.1733388,0.96150064,0.7641744
154,-0.092285626,0.27369976,-0.82381964,0.8680958,0.96150064,0.58858967
155,-0.32152486,-1.1829016,0.8054261,1.4310721,0.96150064,14.05433
156,0.7158182,2.2713969,-1.6058278,2.7817128,14.05433,2.664156
157,0.5665361,1.2832234,-1.9744682,2.3548222,14.05433,0.7641744
158,0.5258883,1.4566014,-1.6292458,2.1854358,14.05433,0.58858967
159,0.20815979,1.1829016,-0.8054261,1.4310721,14.05433,0.96150064
160,-0.26726368,-2.391295,-0.8776952,2.547281,3.4990282,0.13921943
161,0.08196012,-0.66819334,-0.14530933,0.6838107,3.4990282,0.6206419
162,-0.60515666,-2.4383292,-0.028782725,2.438499,3.4990282,1.457681
163,0.33066323,-1.5642351,-1.8377026,2.413293,3.4990282,2.5952458
164,0.2806278,2.391295,0.8776952,2.547281,0.13921943,3.4990282
165,0.12295791,1.7231016,0.7323859,1.8722897,0.13921943,0.6206419
166,0.104227394,-0.047034204,0.8489125,0.8502145,0.13921943,1.457681
167,0.22672932,0.82705986,-0.9600074,1.2671394,0.13921943,2.5952458
168,-0.08225611,0.66819334,0.14530933,0.6838107,0.6206419,3.4990282
169,-0.11850546,-1.7231016,-0.7323859,1.8722897,0.6206419,0.13921943
170,-0.3721524,-1.7701359,0.1165266,1.7739671,0.6206419,1.457681
171,0.36665723,-0.89604175,-1.6923933,1.9149637,0.6206419,2.5952458
172,0.6322187,2.4383292,0.028782725,2.438499,1.457681,3.4990282
173,-0.09081296,0.047034204,-0.8489125,0.8502145,1.457681,0.13921943
174,0.3847803,1.7701359,-0.1165266,1.7739671,1.457681,0.6206419
175,0.81944895,0.8740941,-1.8089199,2.0090375,1.457681,2.5952458
176,-0.31589156,1.5642351,1.8377026,2.413293,2.5952458,3.4990282
177,-0.21221292,-0.82705986,0.9600074,1.2671394,2.5952458,0.13921943
178,-0.34959972,0.89604175,1.6923933,1.9149637,2.5952458,0.6206419
179,-0.79625595,-0.8740941,1.8089199,2.0090375,2.5952458,1.457681
180,0.18145654,-1.8164265,-1.6236049,2.4362879,1.1053499,0.25202775
181,0.16064817,-2.1843805,-1.7713999,2.8123612,1.1053499,1.2992053
182,-0.016641364,-2.4011629,-1.5111912,2.8371258,1.1053499,2.4010668
183,0.41358212,-0.8945082,-1.790753,2.0017345,1.1053499,0.7192739
184,-0.17743397,1.8164265,1.6236049,2.4362879,0.25202775,1.1053499
185,0.098182395,-0.36795402,-0.14779496,0.3965268,0.25202775,1.2992053
186,0.22490324,-0.58473635,0.112413645,0.5954439,0.25202775,2.4010668
187,-0.021509979,0.9219184,-0.16714811,0.93694824,0.25202775,0.7192739
188,-0.15466571,2.1843805,1.7713999,2.8123612,1.2992053,1.1053499
189,-0.08492263,0.36795402,0.14779496,0.3965268,1.2992053,0.25202775
190,0.52477986,-0.21678233,0.2602086,0.33867848,1.2992053,2.4010668
191,0.13994186,1.2898724,-0.019353151,1.2900176,1.2992053,0.7192739
192,0.022196405,2.4011629,1.5111912,2.8371258,2.4010668,1.1053499
193,-0.21747404,0.58473635,-0.112413645,0.5954439,2.4010668,0.25202775
194,-0.51163024,0.21678233,-0.2602086,0.33867848,2.4010668,1.2992053
195,0.30635282,1.5066547,-0.27956176,1.5323718,2.4010668,0.7192739
196,-0.40965152,0.8945082,1.790753,2.0017345,0.7192739,1.1053499
